pole_id,pole_stencil
318,"CI 6/10"
319,XCCA-4
320,XC-169
321,XC-171
322,XC-174
323,XC-175
324,XC-176
325,XC-177
326,"CI 1/18"
327,"HL-LS 0/1"
328,"HL-LS 0/2"
329,"HL-LS 0/3"
330,"HL-LS 0/4"
331,"HL-LS 0/5"
332,"HL-LS 0/6"
333,"HL-LS 0/7"
334,"HL-LS 0/8"
335,"HL-LS 0/9"
336,"HL-LS 0/10"
337,"HL-LS 0/11"
338,"HL-LS 0/12"
339,"HL-LS 0/13"
340,"HL-LS 0/14"
341,"HL-LS 0/15"
342,4-99
343,SL-44069-F
344,SL-2018-D
345,SL-27947-F
346,SL-39646-D
347,SL-2024-D
348,P-265
349,P-263X
350,P-262
351,"HL-LS 0/16"
352,"HL-LS 0/17"
353,"HL-LS 1/1"
354,"HL-LS 1/2"
355,"HL-LS 1/3"
356,"HL-LS 1/4"
357,"HL-LS 1/5"
358,"HL-LS 1/6"
359,"HL-LS 1/7"
360,"HL-LS 1/8"
361,"HL-LS 1/9"
362,"HL-LS 1/10"
363,"HL-LS 1/11"
364,"HL-LS 1/12"
365,"HL-LS 1/13"
366,"HL-LS 1/14"
367,"HL-LS 1/15"
368,P-257
369,P-253X
370,P-252
371,P-242
372,P-242X
373,P-241
374,P-239X
375,P-238
376,"HL-LS 1/16"
377,"HL-LS 1/17"
378,"HL-LS 1/18"
379,"HL-LS 1/19"
380,"HL-LS 1/20"
381,"HL-LS 2/1"
382,"HL-LS 2/2"
383,"HL-LS 2/3"
384,P-236X
385,P-235
386,P-231XXX
387,P-230
388,"HL-LS 2/4"
389,"HL-LS 2/5"
390,"HL-LS 2/6"
391,"HL-LS 2/7"
392,"HL-LS 2/18"
393,"HL-LS 2/8"
394,"HL-LS 2/8"
395,"HL-LS 2/9"
396,"HL-LS 2/10"
397,"HL-LS 2/11"
398,"HL-LS 2/12"
399,"HL-LS 2/13"
400,"HL-LS 2/14"
401,"HL-LS 2/15"
402,"HL-LS 2/16"
403,"HL-LS 2/17"
404,P-225X
405,P-225
406,P-223X
407,P-222
408,P-215
409,P-210
410,P-207
411,"HL-LS 3/1"
412,"HL-LS 3/2"
413,"HL-LS 3/3"
414,"HL-LS 3/4"
415,"HL-LS 3/5"
416,"HL-LS 3/6"
417,"HL-LS 3/7"
418,"HL-LS 3/8"
419,"HL-LS 3/9"
420,"HL-LS 3/10"
421,"HL-LS 3/11"
422,"HL-LS 3/12"
423,"HL-LS 3/13"
424,"HL-LS 3/14"
425,P-189X
426,"HL-LS 3/14"
427,"HL-LS 3/15"
428,"HL-LS 3/16"
429,"HL-LS 3/17"
430,"HL-LS 3/18"
431,"HL-LS 3/19"
432,"HL-LS 4/1"
433,"HL-LS 4/2"
434,"HL-LS 4/3"
435,"HL-LS 4/4"
436,"HL-LS 4/5"
437,"HL-LS 4/6"
438,"HL-LS 4/7"
439,P-203
440,P-202
441,P-201
442,P-263
443,SL-26411-F
444,"HL-LS 0/7"
445,2-90
446,2-5003
447,2-52
448,2-5004
449,2-5006
450,P-271
451,P-272
452,P-273
453,P-274
454,P-275
455,P-276
456,SL-16743-D
457,P-277
458,P-278
459,P-281
460,P-281X
461,P-282
462,P-283
463,P-285
464,3-40
465,2-5000
466,2-5009
467,2-5008
468,2-5007
469,2-96
470,P-287
471,P-288
472,P-289
473,P-289X
474,3-145
475,P-290
476,P-291
477,P-292
478,P-293
479,4-137
480,P-294
481,P-295
482,P-296
483,P-297
484,P-298
485,P-299
486,P-302
487,P-303
488,P-304
489,1-75
490,1-76
491,1-69
492,1-141
493,P-305
494,P-306
495,1-79
496,1-80
497,1-81
498,P-307
499,P-307X
500,1-82
501,1-83
502,1-10
503,P-308
504,P-309
505,P-310
506,P-312X
507,P-313
508,4-50
509,P-315
510,P-316
511,4-179
512,4-58
513,P-192X
514,P-191X
515,P-188
516,"HL-LS 4/4X"
517,P-185X
518,P-179X
519,"CO-LS 5/4"
520,3-15
521,"PF-LS 5/4"
522,"PF-LS 5/4"
523,"PF-LS 5/4"
524,"PF-LS 5/3"
525,"PF-LS 5/2"
526,"PF-LS 5/1"
527,"PF-LS 4/18"
528,"PF-LS 4/17"
529,"PF-LS 4/16"
530,P-177
531,P-173
532,"PF-LS 4/15"
533,"PF-LS 4/14"
534,"PF-LS 4/13"
535,"PF-LS 4/12"
536,P-168XX
537,P-168X
538,P-167X
539,"PF-LS 3/9"
540,"PF-LS 3/8"
541,"PF-LS 3/7"
542,"PF-LS 3/6"
543,"PF-LS 3/5"
544,"PF-LS 3/4"
545,"PF-LS 3/3"
546,"PF-LS 3/2"
547,"PF-LS 3/1"
548,"PF-LS 2/18"
549,"PF-LS 2/17"
550,"PF-LS 2/16"
551,"PF-LS 2/15"
552,"PF-LS 2/14"
553,"PF-LS 2/13"
554,SL-39750-F
555,P-162
556,P-160X
557,P-159X
558,"S-G 0/1"
559,"S-G 0/2"
560,"S-G 0/3"
561,"S-G 0/4"
562,"S-G 0/5"
563,"S-G 0/6"
564,"S-G 0/7"
565,"S-G 0/8"
566,"S-G 0/9"
567,"S-G 0/10"
568,"S-G 0/11"
569,"S-G 0/12"
570,"S-G 0/13"
571,MS-181X
572,SL-22425-D
573,MS-196
574,"S-G 0/14"
575,"S-G 0/15"
576,"S-G 0/16"
577,"S-G 0/17"
578,"S-G 1/1"
579,"S-G 1/2"
580,"S-G 1/3"
581,"S-G 1/4"
582,MS-198
583,MS-199
584,MS-201
585,MS-202
586,MS-204
587,MS-205
588,"s-g 0/17"
589,MS-209
590,MS-210
591,MS-212X
592,MS-214
593,MS-217
594,"S-G 1/6"
595,"S-G 1/7"
596,"S-G 1/8"
597,"S-G 1/9"
598,"S-G 1/10"
599,"S-G 1/11"
600,"S-G 1/12"
601,"S-G 1/13"
602,"S-G 1/14"
603,"S-G 1/15"
604,"S-G 1/16"
605,MS-219
606,"S-G 1/17"
607,"S-G 2/1"
608,"S-G 2/2"
609,"S-G 2/3"
610,"S-G 2/5"
611,"S-G 2/4"
612,"S-G 2/6"
613,"S-G 2/7"
614,"S-G 2/8"
615,"S-G 2/9"
616,"S-G 2/10"
617,"S-G 2/11"
618,"S-G 2/12"
619,"S-G 2/13"
620,"S-G 2/14"
621,"S-G 2/15"
622,"S-G 2/16"
623,"S-G 2/17"
624,"S-G 3/1"
625,"S-G 3/2"
626,"S-G 3/3"
627,"S-G 3/4"
628,"S-G 3/5"
629,"S-G 3/6"
630,"S-G 3/7"
631,"S-G 3/8"
632,"S-G 3/9"
633,"S-G 3/10"
634,"S-G 3/11"
635,"S-G 3/12"
636,"S-G 3/13"
637,MS-274
638,MS-275
639,MS-276
640,MS-276X
641,"S-G 3/14"
642,"S-G 3/15"
643,"S-G 3/16"
644,"S-G 4/1"
645,"S-G 4/2"
646,"S-G 4/3"
647,"S-G 4/4"
648,"S-G 4/5"
649,"S-G 4/6"
650,"S-G 4/7"
651,"S-G 4/8"
652,MS-281
653,MS-282X
654,MS-287
655,MS-289
656,"S-G 4/9"
657,"S-G 4/10"
658,"S-G 4/11"
659,"S-G 4/12"
660,"S-G 4/13"
661,"S-G 4/14"
662,MS-291
663,MS-293
664,MS-295
665,MS-297
666,MS-299
667,MS-301
668,"S-G 5/2"
669,"S-G 5/3"
670,"S-G 5/4"
671,"S-G 5/5"
672,"S-G 5/6"
673,"S-G 5/7"
674,"S-G 5/8"
675,"S-G 5/9"
676,MS-312
677,2-110
678,4-96
679,3-16
680,2-123
681,4-71
682,4-94
683,4-84
684,2-147
685,MS-316
686,MS-320
687,MS-334
688,"S-G 6/1"
689,MS-336
690,"S-G 6/2"
691,MS-338
692,"S-G 6/3"
693,"S-G 6/4"
694,MS-341
695,"S-G 6/5"
696,MS-342
697,"S-G 6/6"
698,"S-G 6/7"
699,"S-G 6/8"
700,"S-G 6/9"
701,MS-348
702,"S-G 6/10"
703,MS-350
704,MS-351
705,"S-G 5/10"
706,"S-G 5/11"
707,"S-G 5/12"
708,"S-G 5/13"
709,"S-G 5/14"
710,"S-G 5/15"
711,MS-332
712,MS-323
713,MS-326
714,MS-328
715,MS-327X
716,MS-330
717,"S-G 6/12"
718,"S-G 6/13"
719,"S-G 6/14"
720,"S-G 6/15"
721,"S-G 6/16"
722,"S-G 6/11"
723,MS-353
724,MS-354
725,MS-356
726,MS-358
727,MS-360
728,4-90
729,MS-183X
730,MS-185
731,MS-186X
732,4-90
733,MS-363
734,"S-G 0/0"
735,MS-178
736,MS-178X
737,MS-179X
738,MS-180X
739,"S-G 1/5"
740,MS-200
741,MS-199
742,MS-212
743,1-73
744,MS-221
745,MS-225
746,MS-230X
747,MS-254
748,MS-362X
749,"M-B 103/16"
750,"M-B 103/15"
751,"M-B 103/14"
752,"M-B 103/13"
753,"M-B 103/12"
754,MS-234X
755,"S-G 2/7"
756,MS-241X
757,MS-243X
758,4-159863
759,4-160007
760,4-160011
761,MS-280X
762,"S-G 4/10"
763,"S-G 4/15"
764,"S-G 4/16"
765,"S-G 4/17"
766,S-G4-18
767,"S-G 4-18"
768,"S-G 5/1"
769,MS-303
770,MS-305
771,MS-310
772,MS-338X
773,"S-G 6/9"
774,MS-346
775,"B2 1/1"
776,"B2 1/2"
777,"B2 1/3"
778,"B2 1/4"
779,"B2 1/5"
780,"B2 1/6"
781,"B2 1/7"
782,"B2 1/8"
783,"B2 1/9"
784,"B2 1/10"
785,"B2 1/11"
786,"B2 1/12"
787,3-14
788,"S-B 9/2"
789,"S-B 9/1"
790,2-50
791,2-2
792,"B2 1/13"
793,"B2 2/5"
794,"B2 2/6"
795,"B2 2/7"
796,"B2 2/8"
797,"B2 2/9"
798,"B2 2/10"
799,"B2 2/11"
800,"B2 2/12"
801,"B2 2/13"
802,"B2 2/14"
803,"B2 2/15"
805,"B2 2/16"
806,"B2 2/17"
807,"B2 3/1"
808,"B2 3/2"
809,"B2 3/3"
810,"B2 3/4"
811,"B2 3/5"
812,"B2 3/6"
813,"B2 3/7"
814,"B2 3/8"
815,"B2 3/9"
816,"B2 3/10"
817,"B2 3/11"
818,"B2 3/12"
819,"B2 3/13"
820,"B2 3/14"
821,"B2 3/15"
822,"B2 3/16"
823,"B2 3/17"
824,"B2 3/18"
825,"B2 4/1"
826,"B2 4/2"
827,"B2 4/3"
828,"B2 4/4"
829,"B2 4/5"
830,"B2 4/6"
831,"B2 4/7"
832,"B2 4/8"
833,"B2 4/9"
834,"B2 4/10"
835,"B2 4/11"
836,"B2 4/12"
837,"PF-LS 0/4"
838,"PF-LS 0/5"
839,"PF-LS 0/6"
840,"PF-LS 0/7"
841,"PF-LS 0/8"
842,"PF-LS 0/9"
843,"PF-LS 0/10"
844,"PF-LS 0/11"
845,"PF-LS 0/12"
846,"PF-LS 0/13"
847,"PF-LS 0/14"
848,"PF-LS 0/15"
849,"PF-LS 0/16"
850,1-71
851,"CO-PP 2/5"
852,1-44
853,"B2 1/14"
854,"B2 1/15"
855,"B2 1/16"
856,"B2 2/1"
857,"B2 2/2"
858,"B2 2/3"
859,"B2 2/4"
860,2-10
861,1-4
862,2-35
863,"B2 2/23"
864,"B2 2/24"
865,"B2 2/25"
866,"B2 2/26"
867,2-19
868,2-13
869,GC2JA-4
870,GC2JA-3
871,GC2JA-8
872,GC2JA-7
873,GC2JA-6
874,GC2JA-5
875,GC2JA-2
876,1-329799
877,2-86
878,GC2JAA-4
879,2-79
880,2-81
881,2-42
882,2-16
883,"L-B 4/1"
884,"L-B 4/3"
885,"L-B 4/2"
886,"L-B 4/4"
887,"L-B 4/5"
888,4-154
889,4-45
890,1-209
891,"L-B 4/6"
892,4-42
893,1-211
894,"L-B 4/7"
895,2-125
896,2-124
897,"L-B 4/8"
898,2-122
899,"L-B 4/9"
900,3-156779
901,2-120
902,"L-B 4/10"
903,2-92
904,"L-B 4/11"
905,2-88
906,2-83
907,"L-B 4/12"
908,3-184
909,3-161811
910,2-77
911,"L-B 4/13"
912,3-187942
913,2-74
914,2-73
915,3-187944
916,"L-B 4/14"
917,3-162
918,1-142
919,"L-B 4/15"
920,1-139
921,"L-B 5/1"
922,1-137
923,"L-B 5/2"
924,1-135
925,1-185087
926,"L-B 5-3"
927,1-176
928,"L-B 5/4"
929,"L-B 5/3"
930,1-159552
931,1-128
932,"L-B 5/5"
933,1-127
934,"L-B 5/6"
935,1-121
936,4-156
937,"L-B 5/7"
938,"L-B 5/8"
939,"L-B 5/9"
940,"RP 0/1"
941,"HL-B 1/7"
942,"HL-E-L 1/4"
943,"L-B 0/1"
944,"L-B 0/2"
945,"L-B 0/3"
946,"L-B 0/4"
947,"L-B 0/5"
948,"L-B 0/6"
949,"L-B 0/7"
950,"L-B 0/8"
951,"L-B 0/9"
952,"L-B 0/10"
953,"L-B 0/11"
954,"L-B 0/12"
955,"L-B 0/13"
956,1-116
957,1-87
958,4-77
959,1-88
960,1-86
961,2-112
962,3-132
963,1-85
964,"L-B 0/14"
965,"L-B 0/15"
966,"L-B 0/16"
967,"L-B 1/1"
968,"L-B 1/2"
969,"L-B 1/3"
970,"L-B 1/4"
971,"L-B 1/5"
972,"L-B 1/6"
973,"L-B 1/7"
974,"L-B 1/8"
975,"L-B 1/9"
976,2-107
977,2-129
978,3-38
979,3-36
980,3-31
981,3-27
982,3-42
983,3-47
984,3-51
985,3-94
986,2-45
987,2-6
988,2-3
989,"L-B 1/10"
990,"L-B 1/11"
991,"L-B 1/12"
992,"L-B 1/13"
993,"L-B 1/14"
994,"L-B 1/15"
995,"L-B 1/16"
996,"L-B 2/1"
997,"L-B 2/2"
998,"L-B 2/3"
999,"L-B 2/4"
1000,"L-B 2/5"
1001,"L-B 2/6"
1002,"L-B 2/7"
1003,"L-B 2/8"
1004,"L-B 2/9"
